id,sex,country,city,bdate
657980277,Male,Украина,Запорожье,1996
657677380,Male,Россия,Санкт-Петербург,1994
657433879,Female,Unfiled_country,Unfiled_city,Unfiled_bdate
655125877,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
652396719,Female,Unfiled_country,Unfiled_city,1996
652085325,Female,Эстония,Unfiled_city,Unfiled_bdate
649902652,Male,Unfiled_country,Unfiled_city,1988
649786791,Female,Россия,Новосибирск,Unfiled_bdate
649608244,Male,Мьянма,Naypyidaw,1952
646711687,Male,Unfiled_country,Unfiled_city,1997
645932548,Male,Россия,Тамбов,1988
644772513,Male,Россия,Нижневартовск,1996
643870768,Male,Россия,Москва,1973
642593087,Male,Россия,Москва,1993
642017316,Male,Беларусь,Минск,Unfiled_bdate
641043090,Male,Россия,Москва,1987
640801638,Male,Unfiled_country,Unfiled_city,1991
640548651,Male,Unfiled_country,Unfiled_city,1998
640400795,Male,Unfiled_country,Unfiled_city,2000
640340149,Male,Unfiled_country,Unfiled_city,2001
638911178,Male,Unfiled_country,Unfiled_city,1999
638773145,Male,Unfiled_country,Unfiled_city,2005
636930367,Male,Польша,Gliwice,Unfiled_bdate
635406701,Male,Unfiled_country,Unfiled_city,1985
635169353,Male,Россия,Санкт-Петербург,1994
634659276,Male,Unfiled_country,Unfiled_city,2006
634094586,Male,Unfiled_country,Unfiled_city,1987
633347908,Male,Unfiled_country,Unfiled_city,2005
632994084,Male,Unfiled_country,Unfiled_city,2001
632703107,Female,Россия,Красноярск,1902
632682414,Male,Unfiled_country,Unfiled_city,1997
632127840,Male,Unfiled_country,Unfiled_city,2000
631834482,Male,Unfiled_country,Unfiled_city,2006
631752357,Male,Unfiled_country,Unfiled_city,2006
628539522,Male,Россия,Ростов-на-Дону,1998
627559714,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
627512189,Male,Россия,Москва,1994
627133067,Male,Россия,Санкт-Петербург,Unfiled_bdate
626883604,Female,Россия,Санкт-Петербург,2000
625917779,Male,Россия,Москва,1990
624247001,Male,Казахстан,Петропавловск,1990
624212836,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
623752373,Male,Unfiled_country,Unfiled_city,2000
623683055,Male,Россия,Санкт-Петербург,Unfiled_bdate
623162705,Male,Россия,Новокуйбышевск,1996
622396701,Male,Россия,Москва,1992
621891386,Male,Россия,Unfiled_city,Unfiled_bdate
621701144,Male,Россия,Красноярск,1997
621277782,Male,Россия,Братск,Unfiled_bdate
620977963,Male,Unfiled_country,Unfiled_city,2005
620838325,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
620312296,Male,Беларусь,Барановичи,Unfiled_bdate
619934895,Male,Россия,Саратов,1991
619427508,Male,Россия,Санкт-Петербург,2001
617964035,Male,Россия,Москва,Unfiled_bdate
617721655,Male,Unfiled_country,Unfiled_city,2006
614950290,Male,Unfiled_country,Unfiled_city,2001
614870890,Male,Unfiled_country,Unfiled_city,1997
614199220,Male,Россия,Москва,1992
614047475,Male,Unfiled_country,Unfiled_city,1990
613957106,Female,Россия,Unfiled_city,Unfiled_bdate
613709270,Male,Бельгия,Bruxelles,Unfiled_bdate
613586995,Female,Россия,Unfiled_city,2000
613460056,Male,Unfiled_country,Unfiled_city,2005
611369033,Male,Unfiled_country,Unfiled_city,1989
610759852,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
608757168,Male,Unfiled_country,Unfiled_city,1993
608541062,Male,Unfiled_country,Unfiled_city,1999
608480312,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
608469798,Male,Россия,Unfiled_city,Unfiled_bdate
607398719,Male,Unfiled_country,Unfiled_city,2000
607068203,Male,Unfiled_country,Unfiled_city,1977
606644737,Male,Литва,Unfiled_city,Unfiled_bdate
605910297,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
604342215,Male,Китай,Harbin,Unfiled_bdate
603646316,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
603611610,Male,Перу,Lima,Unfiled_bdate
603070212,Male,Россия,Верхняя Пышма,1993
600327759,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
600111168,Male,Россия,Unfiled_city,1994
599553722,Male,Казахстан,Шымкент,1996
598810465,Male,Россия,Unfiled_city,2006
598705018,Male,Россия,Омск,1994
598490001,Male,Россия,Unfiled_city,Unfiled_bdate
597912295,Male,Unfiled_country,Unfiled_city,1996
