id,sex,country,city,bdate,years,range_years
657677380,Male,Россия,Санкт-Петербург,1994,27,23-27
645932548,Male,Россия,Тамбов,1988,33,Старше 27
644772513,Male,Россия,Нижневартовск,1996,25,23-27
642593087,Male,Россия,Москва,1993,28,Старше 27
641043090,Male,Россия,Москва,1987,34,Старше 27
635169353,Male,Россия,Санкт-Петербург,1994,27,23-27
628539522,Male,Россия,Ростов-на-Дону,1998,23,23-27
627512189,Male,Россия,Москва,1994,27,23-27
626883604,Female,Россия,Санкт-Петербург,2000,21,18-22
625917779,Male,Россия,Москва,1990,31,Старше 27
623162705,Male,Россия,Новокуйбышевск,1996,25,23-27
622396701,Male,Россия,Москва,1992,29,Старше 27
621701144,Male,Россия,Красноярск,1997,24,23-27
619934895,Male,Россия,Саратов,1991,30,Старше 27
619427508,Male,Россия,Санкт-Петербург,2001,20,18-22
614199220,Male,Россия,Москва,1992,29,Старше 27
613586995,Female,Россия,Unfiled_city,2000,21,18-22
603070212,Male,Россия,Верхняя Пышма,1993,28,Старше 27
600111168,Male,Россия,Unfiled_city,1994,27,23-27
598810465,Male,Россия,Unfiled_city,2006,15,Младше 18
598705018,Male,Россия,Омск,1994,27,23-27
593509264,Male,Россия,Unfiled_city,1999,22,18-22
590199453,Male,Россия,Ярославль,1991,30,Старше 27
586470793,Male,Россия,Усолье-Сибирское,2001,20,18-22
585222165,Male,Россия,Москва,1997,24,23-27
584905348,Male,Россия,Пермь,1991,30,Старше 27
584047220,Male,Россия,Москва,1993,28,Старше 27
583481177,Male,Россия,Санкт-Петербург,1994,27,23-27
581584923,Male,Россия,Москва,1997,24,23-27
579327512,Male,Россия,Владимир,1993,28,Старше 27
579160936,Male,Россия,Балаково,2001,20,18-22
578446186,Male,Россия,Москва,1991,30,Старше 27
576428421,Female,Россия,Санкт-Петербург,2002,19,18-22
572338661,Male,Россия,Выборг,1997,24,23-27
560554698,Female,Россия,Новосибирск,1988,33,Старше 27
559420118,Male,Россия,Краснодар,2000,21,18-22
559277216,Male,Россия,Геймановская,2000,21,18-22
559157017,Male,Россия,Москва,2001,20,18-22
557762731,Female,Россия,Чита,1992,29,Старше 27
556764680,Male,Россия,Анапа,1995,26,23-27
556112729,Male,Россия,Петрозаводск,2001,20,18-22
555877609,Male,Россия,Смоленск,2004,17,Младше 18
553997765,Male,Россия,Кемерово,1995,26,23-27
550795811,Male,Россия,Ижевск,2003,18,18-22
550772571,Male,Россия,Электросталь,2005,16,Младше 18
550608331,Male,Россия,Чита,1987,34,Старше 27
549060923,Female,Россия,Москва,1997,24,23-27
548773168,Female,Россия,Севастополь,2003,18,18-22
547562270,Male,Россия,Санкт-Петербург,1982,39,Старше 27
547505227,Female,Россия,Санкт-Петербург,2002,19,18-22
546917993,Male,Россия,Великий Новгород,1995,26,23-27
546672689,Male,Россия,Чита,1988,33,Старше 27
546433958,Male,Россия,Краснодар,1996,25,23-27
542756376,Male,Россия,Люберцы,2004,17,Младше 18
542443688,Male,Россия,Чита,1984,37,Старше 27
540599320,Male,Россия,Белгород,2002,19,18-22
539550286,Male,Россия,Раменское,1999,22,18-22
538731258,Male,Россия,Белгород (поселок),2000,21,18-22
536165241,Male,Россия,Екатеринбург,1982,39,Старше 27
535563145,Male,Россия,Можайск,1994,27,23-27
535501010,Male,Россия,Вологда,2000,21,18-22
535229366,Female,Россия,Лучегорск,1992,29,Старше 27
534500897,Female,Россия,Москва,1997,24,23-27
533057882,Male,Россия,Вологда,1994,27,23-27
532468282,Male,Россия,Москва,1987,34,Старше 27
532057966,Female,Россия,Unfiled_city,1990,31,Старше 27
531894877,Male,Россия,Ишимбай,2001,20,18-22
528779894,Male,Россия,Воронеж,1994,27,23-27
527880001,Male,Россия,Санкт-Петербург,2002,19,18-22
527210106,Male,Россия,Москва,1995,26,23-27
525920342,Male,Россия,Ульяновск,1998,23,23-27
525177266,Male,Россия,Череповец,2005,16,Младше 18
524030656,Male,Россия,Unfiled_city,1998,23,23-27
523835962,Male,Россия,Екатеринбург,1997,24,23-27
523669163,Male,Россия,Санкт-Петербург,1983,38,Старше 27
523512141,Male,Россия,Москва,2004,17,Младше 18
522754825,Male,Россия,Омский,2004,17,Младше 18
521997926,Male,Россия,Нижний Тагил,1995,26,23-27
521966523,Female,Россия,Москва,1995,26,23-27
521558060,Male,Россия,Екатеринбург,1993,28,Старше 27
521149543,Male,Россия,Санкт-Петербург,1989,32,Старше 27
521147401,Male,Россия,Москва,1985,36,Старше 27
519890265,Male,Россия,Unfiled_city,1995,26,23-27
519329794,Male,Россия,Москва,2002,19,18-22
518180643,Male,Россия,Анжеро-Судженск,1996,25,23-27
517528788,Male,Россия,Санкт-Петербург,1989,32,Старше 27
517528588,Male,Россия,Ижевск,1988,33,Старше 27
517249961,Male,Россия,Москва,1995,26,23-27
516622874,Male,Россия,Чебоксары,1983,38,Старше 27
516480074,Female,Россия,Екатеринбург,1990,31,Старше 27
515835759,Male,Россия,Москва,1997,24,23-27
515261475,Male,Россия,Новосибирск,1983,38,Старше 27
515143989,Male,Россия,Unfiled_city,1991,30,Старше 27
515025304,Male,Россия,Иркутск,2005,16,Младше 18
514794475,Male,Россия,Екатеринбург,1998,23,23-27
514590817,Male,Россия,Unfiled_city,2000,21,18-22
514079928,Male,Россия,Unfiled_city,2001,20,18-22
513530767,Male,Россия,Unfiled_city,2000,21,18-22
512514592,Male,Россия,Ростов-на-Дону,1990,31,Старше 27
511172834,Male,Россия,Екатеринбург,2001,20,18-22
509973925,Male,Россия,Unfiled_city,1994,27,23-27
509442412,Male,Россия,Пермь,1999,22,18-22
508713657,Male,Россия,Ростов-на-Дону,1985,36,Старше 27
507785602,Male,Россия,Орёл,2004,17,Младше 18
507477007,Female,Россия,Москва,1993,28,Старше 27
506999373,Male,Россия,Москва,1996,25,23-27
506331906,Male,Россия,Москва,1999,22,18-22
506300352,Female,Россия,Санкт-Петербург,1996,25,23-27
505801730,Female,Россия,Санкт-Петербург,1991,30,Старше 27
504333316,Male,Россия,Нижний Тагил,1995,26,23-27
504276148,Male,Россия,Unfiled_city,2000,21,18-22
503286631,Male,Россия,Иркутск,1994,27,23-27
502987149,Male,Россия,Москва,1985,36,Старше 27
501456430,Male,Россия,Светлоград,1992,29,Старше 27
500643279,Male,Россия,Ярославль,2000,21,18-22
499989868,Male,Россия,Омск,1997,24,23-27
499838821,Female,Россия,Астрахань,2000,21,18-22
499375492,Male,Россия,Вологда,2000,21,18-22
499369806,Male,Россия,Петропавловск-Камчатский,2001,20,18-22
498584446,Male,Россия,Санкт-Петербург,1997,24,23-27
498208713,Male,Россия,Москва,1989,32,Старше 27
497194810,Female,Россия,Unfiled_city,1982,39,Старше 27
496737044,Male,Россия,Новомосковск,2000,21,18-22
496546115,Male,Россия,Москва,1995,26,23-27
496341321,Male,Россия,Туймазы,2003,18,18-22
495220616,Female,Россия,Unfiled_city,1995,26,23-27
495118770,Male,Россия,Волгоград,2004,17,Младше 18
494683664,Male,Россия,Соскино,1991,30,Старше 27
494369180,Male,Россия,Истра,2004,17,Младше 18
494202760,Male,Россия,Москва,2001,20,18-22
493474990,Male,Россия,Архипо-Осиповка,1996,25,23-27
493451787,Male,Россия,Брянск,2004,17,Младше 18
493323339,Male,Россия,Москва,1996,25,23-27
491335643,Male,Россия,Москва,1996,25,23-27
491307275,Male,Россия,Ахтубинск,1996,25,23-27
489890448,Female,Россия,Москва,2001,20,18-22
489690251,Male,Россия,Чита,1989,32,Старше 27
489256228,Female,Россия,Unfiled_city,1996,25,23-27
489079025,Female,Россия,Москва,1996,25,23-27
488040018,Male,Россия,Киров,1999,22,18-22
486676090,Male,Россия,Москва,1988,33,Старше 27
485972345,Male,Россия,Москва,1996,25,23-27
484567591,Male,Россия,Москва,1988,33,Старше 27
482867513,Male,Россия,Москва,1990,31,Старше 27
482199046,Male,Россия,Волгоград,1995,26,23-27
482021081,Male,Россия,Энгельс,1995,26,23-27
481501284,Male,Россия,Верхняя Пышма,2005,16,Младше 18
481447751,Male,Россия,Чебоксары,2002,19,18-22
480936596,Male,Россия,Волгоград,1995,26,23-27
480042718,Female,Россия,Санкт-Петербург,1993,28,Старше 27
476603353,Male,Россия,Ставрополь,1998,23,23-27
474865250,Male,Россия,Давыдово,2004,17,Младше 18
474276594,Female,Россия,Челябинск,2007,14,Младше 18
473351316,Female,Россия,Тула,1997,24,23-27
472800354,Female,Россия,Красноярск,1992,29,Старше 27
472295759,Male,Россия,Ялуторовск,2001,20,18-22
470843896,Male,Россия,Новосибирск,1996,25,23-27
470381338,Male,Россия,Москва,2002,19,18-22
468659645,Male,Россия,Новая Украинка,1997,24,23-27
468445712,Female,Россия,Уфа,2001,20,18-22
466352692,Male,Россия,Краснодар,1997,24,23-27
465710395,Female,Россия,Челябинск,1997,24,23-27
464458516,Male,Россия,Нижний Новгород,2000,21,18-22
463751944,Male,Россия,Пенза,2007,14,Младше 18
462578997,Male,Россия,Пермь,1987,34,Старше 27
462173789,Male,Россия,Березовский,1997,24,23-27
460550563,Male,Россия,Кострома,2003,18,18-22
460023581,Female,Россия,Москва,1997,24,23-27
460012472,Male,Россия,Зеленоград,2005,16,Младше 18
459022041,Female,Россия,Юрга,2006,15,Младше 18
457742526,Male,Россия,Пудож,1996,25,23-27
456516542,Male,Россия,Unfiled_city,2002,19,18-22
455512155,Female,Россия,Москва,2006,15,Младше 18
454556789,Male,Россия,Калининград,1997,24,23-27
454502465,Male,Россия,Москва,2000,21,18-22
453516606,Male,Россия,Серебряные Пруды,2002,19,18-22
453107761,Male,Россия,Челябинск,1998,23,23-27
452748510,Male,Россия,Кемерово,1997,24,23-27
452592786,Male,Россия,Unfiled_city,2004,17,Младше 18
452583166,Male,Россия,Невьянск,2005,16,Младше 18
451979362,Male,Россия,Москва,2000,21,18-22
450772565,Male,Россия,Москва,1999,22,18-22
450139323,Male,Россия,Москва,1995,26,23-27
449391724,Male,Россия,Санкт-Петербург,1998,23,23-27
448893586,Male,Россия,Оренбург,1997,24,23-27
448802643,Male,Россия,Уфа,2000,21,18-22
448405408,Female,Россия,Ставрополь,1999,22,18-22
447519788,Male,Россия,Иваново,2005,16,Младше 18
447502048,Male,Россия,Москва,1998,23,23-27
446841383,Male,Россия,Ступино,1996,25,23-27
446699044,Male,Россия,Москва,1996,25,23-27
445889386,Male,Россия,Москва,1997,24,23-27
444609466,Male,Россия,Калуга,2004,17,Младше 18
444548983,Female,Россия,Unfiled_city,2005,16,Младше 18
444340123,Male,Россия,Москва,1995,26,23-27
442673446,Male,Россия,Unfiled_city,2001,20,18-22
442318035,Male,Россия,Санкт-Петербург,1998,23,23-27
441883505,Male,Россия,Казань,2004,17,Младше 18
440881478,Male,Россия,Чита,1991,30,Старше 27
440753840,Male,Россия,Сургут,2001,20,18-22
440664348,Male,Россия,Ижевск,2000,21,18-22
440602244,Female,Россия,Екатеринбург,1994,27,23-27
440281511,Male,Россия,Чита,1981,40,Старше 27
440096835,Male,Россия,Тольятти,1995,26,23-27
439979039,Male,Россия,Чита,1985,36,Старше 27
439908830,Male,Россия,Санкт-Петербург,1988,33,Старше 27
437686401,Male,Россия,Новосибирск,1997,24,23-27
437037147,Male,Россия,Липецк,1997,24,23-27
436560109,Male,Россия,Москва,2000,21,18-22
436257341,Male,Россия,Санкт-Петербург,2003,18,18-22
435833680,Male,Россия,Unfiled_city,2004,17,Младше 18
435778482,Male,Россия,Пенза,1991,30,Старше 27
435412472,Male,Россия,Тольятти,1996,25,23-27
434703126,Male,Россия,Мытищи,1998,23,23-27
434175680,Female,Россия,Москва,1998,23,23-27
433524906,Male,Россия,Unfiled_city,1996,25,23-27
433426950,Female,Россия,Болково,1991,30,Старше 27
432832918,Male,Россия,Санкт-Петербург,1996,25,23-27
430821949,Male,Россия,Новый Уренгой,2005,16,Младше 18
429987354,Male,Россия,Ростов-на-Дону,2001,20,18-22
427867355,Male,Россия,Москва,1988,33,Старше 27
427700389,Male,Россия,Москва,1999,22,18-22
427389873,Female,Россия,Москва,2000,21,18-22
425311829,Male,Россия,Unfiled_city,2002,19,18-22
424296509,Male,Россия,Смоленск,2005,16,Младше 18
423402432,Male,Россия,Волгоград,2001,20,18-22
422165340,Female,Россия,Санкт-Петербург,1989,32,Старше 27
422159544,Male,Россия,Москва,1989,32,Старше 27
421782529,Male,Россия,Братск,1993,28,Старше 27
421590444,Male,Россия,Ульяновск,1996,25,23-27
421030882,Male,Россия,Хабаровск,2005,16,Младше 18
420973439,Female,Россия,Челябинск,2001,20,18-22
420452651,Female,Россия,Unfiled_city,2005,16,Младше 18
419751814,Male,Россия,Москва,2001,20,18-22
419144332,Male,Россия,Малый Рай,2000,21,18-22
417906780,Male,Россия,Санкт-Петербург,1988,33,Старше 27
417740959,Male,Россия,Unfiled_city,1990,31,Старше 27
417726550,Female,Россия,Кунгур,2004,17,Младше 18
416688217,Male,Россия,Липецк,1999,22,18-22
416642256,Male,Россия,Москва,2000,21,18-22
416415186,Female,Россия,Курск,2000,21,18-22
416104350,Male,Россия,Unfiled_city,2004,17,Младше 18
415737186,Female,Россия,Санкт-Петербург,1999,22,18-22
415251298,Male,Россия,Unfiled_city,1999,22,18-22
414666207,Male,Россия,Вятские Поляны,1998,23,23-27
414535877,Male,Россия,Екатеринбург,2000,21,18-22
412773970,Male,Россия,Москва,2000,21,18-22
412185707,Male,Россия,Калининград,2005,16,Младше 18
411384896,Male,Россия,Рубцовск,2005,16,Младше 18
410740002,Male,Россия,Уфа,2006,15,Младше 18
409500865,Male,Россия,Новокуйбышевск,2006,15,Младше 18
407525133,Male,Россия,Москва,1999,22,18-22
407513715,Male,Россия,Новороссийск,1989,32,Старше 27
404144964,Male,Россия,Серпухов,2000,21,18-22
403233425,Male,Россия,Тольятти,1993,28,Старше 27
402117203,Male,Россия,Нижний Новгород,1998,23,23-27
401755669,Female,Россия,Нижний Новгород,1995,26,23-27
401307492,Male,Россия,Красноуфимск,1999,22,18-22
401198763,Male,Россия,Воскресенск,1989,32,Старше 27
400678906,Male,Россия,Unfiled_city,1988,33,Старше 27
400269170,Female,Россия,Москва,2002,19,18-22
399998146,Male,Россия,Санкт-Петербург,2000,21,18-22
399412896,Male,Россия,Москва,1988,33,Старше 27
399159155,Female,Россия,Екатеринбург,2003,18,18-22
397868271,Male,Россия,Санкт-Петербург,2002,19,18-22
397665675,Male,Россия,Санкт-Петербург,1996,25,23-27
397558344,Male,Россия,Unfiled_city,1998,23,23-27
397466366,Male,Россия,Симферополь,2000,21,18-22
397449101,Male,Россия,Чита,1985,36,Старше 27
397309210,Female,Россия,Екатеринбург,1991,30,Старше 27
397054426,Male,Россия,Владивосток,2004,17,Младше 18
397049547,Male,Россия,Москва,1998,23,23-27
396708393,Male,Россия,Москва,1998,23,23-27
396316555,Male,Россия,Иркутск,1983,38,Старше 27
395913018,Male,Россия,Unfiled_city,2002,19,18-22
395882350,Male,Россия,Санкт-Петербург,1998,23,23-27
395315153,Male,Россия,Волгоград,1999,22,18-22
393666938,Male,Россия,Омск,1994,27,23-27
393216005,Male,Россия,Нижний Новгород,1994,27,23-27
392124022,Male,Россия,Барнаул,1992,29,Старше 27
